listing_id,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
10028,68311,for_sale,109900,2,1,0.2,1610431,Birmingham,Alabama,35206,1001,
10029,30194,for_sale,129900,3,2,0.32,884165,Birmingham,Alabama,35215,1536,2/10/09
10030,35149,for_sale,140000,3,1,0.15,1662710,Birmingham,Alabama,35206,1064,9/27/21
10031,98147,for_sale,165000,3,2,0.54,714418,Birmingham,Alabama,35215,1560,8/15/01
10032,53423,for_sale,125000,3,3,0.13,1616416,Birmingham,Alabama,35215,1600,9/5/17
10033,70677,for_sale,129900,3,1,0.36,1325153,Pinson,Alabama,35126,1202,1/10/22
10034,109987,for_sale,195000,4,3,0.31,1797238,Birmingham,Alabama,35235,1978,5/1/19
10035,7559,for_sale,115000,3,2,0.23,1632298,Birmingham,Alabama,35206,1871,11/1/13
10036,33263,for_sale,75000,2,2,0.06,1818122,Birmingham,Alabama,35215,1372,4/2/03
10037,53774,for_sale,175000,3,2,0.81,616010,Birmingham,Alabama,35235,1744,2/25/22
10038,60865,for_sale,299900,5,3,0.7,1622720,Pinson,Alabama,35126,2003,6/2/03
10039,29349,for_sale,169000,3,2,0.7,1493572,Birmingham,Alabama,35206,2049,5/23/16
10040,58757,for_sale,240000,4,2,0.7,1545981,Pinson,Alabama,35126,1930,5/18/09
10041,105373,for_sale,150000,1,2,0.7,553348,Birmingham,Alabama,35215,1684,9/30/20
10042,3037,for_sale,74900,3,2,0.53,1344446,Center Point,Alabama,35215,1227,12/3/03
10043,110001,for_sale,119900,3,1,0.18,1711863,Birmingham,Alabama,35206,1304,10/6/20
10044,60865,for_sale,193900,3,2,0.23,1555141,Pinson,Alabama,35126,1310,12/15/14
10045,69491,for_sale,167000,2,2,0.37,1748287,Birmingham,Alabama,35206,1017,6/1/15
10046,83009,for_sale,129900,3,1,0.21,1767925,Birmingham,Alabama,35217,1080,
10047,110001,for_sale,160000,3,1,0.34,830369,Center Point,Alabama,35215,1530,2/1/22
10048,101283,for_sale,102000,2,2,0.06,540871,Center Point,Alabama,35215,1150,3/11/19
